geometry,beta,null_type,draw,real_consensus_family,real_consensus_q,surrogate_consensus_family,surrogate_consensus_q,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,real_mean_winner_q_contrast,real_mean_winner_xyz,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz
cubic,1.0,shell_shuffle,3,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 2, 2)",X1+Y2+Z2,1.0,1.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.11415790817772475,5.943802271836339e-05
cubic,1.0,shell_shuffle,4,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",X1+Y2+Z2,0.0,1.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12335674275695752,5.6228959932496174e-05
cubic,1.0,shell_shuffle,5,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Y1,0.0,0.0,1.0,0.5,0.15573592931177704,5.243303667372475e-05,0.14502695531422607,5.6228959932496174e-05
cubic,1.0,shell_shuffle,6,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y2+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12642676785706242,5.9168596476454464e-05
cubic,1.0,shell_shuffle,7,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Z1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.1046921569180959,5.2433036673724744e-05
cubic,1.0,shell_shuffle,8,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y2+Z1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.1257184637413447,5.943802271836339e-05
cubic,1.0,shell_shuffle,9,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Y1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.11294670342353852,5.943802271836339e-05
cubic,1.0,shell_shuffle,10,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 1)",X1+Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12432370863015142,5.943802271836339e-05
cubic,1.0,shell_shuffle,11,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Z1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.1901756113237793,6.852064004984834e-05
cubic,1.0,shell_shuffle,12,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Y1+Z2,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.15325834289365373,5.6228959932496174e-05
