geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
tet_1.20,0.0,score_q,"1-axis:(1,)",1,3.4780021899913764,0.1399097547808783,0.9791666666666666,0.026254431746884528,1,True,1.2453634857846156
tet_1.20,0.0,score_iso,"1-axis:(1,)",1,3.4780021899913764,0.1399097547808783,1.0,0.026254431746884528,1,True,1.2917899353207232
tet_1.20,0.0,q_only,"1-axis:(1,)",1,3.4780021899913764,0.1399097547808783,1.0,0.026254431746884528,1,True,1.2917899353207232
tet_1.20,0.0,xyz_only,"1-axis:(1,)",1,3.4780021899913764,0.1399097547808783,0.9583333333333334,0.026254431746884528,1,True,1.1998329805340657
tet_1.20,1.0,score_q,"1-axis:(1,)",1,2.37598386775205,0.2761024584201009,0.1666666666666666,1.4995887618776693,1,True,2.2156452057728973
tet_1.20,1.0,score_iso,"1-axis:(1,)",1,2.37598386775205,0.2761024584201009,0.1458333333333333,1.4995887618776693,1,True,2.2462757048483035
tet_1.20,1.0,q_only,"1-axis:(1,)",1,2.37598386775205,0.0664719727683411,0.0,-0.03306688502597238,2,False,1.9448633158417123
tet_1.20,1.0,xyz_only,"1-axis:(1,)",1,2.4080388828770407,0.2761024584201009,0.2291666666666666,1.4995887618776693,1,True,2.1245362397796375
tet_1.20,1.5,score_q,"3-axis:(1, 1, 1)",3,1.5151380809623118,0.0074102795515502,1.0,0.9178059041061172,3,True,1.7137434529260092
tet_1.20,1.5,score_iso,"1-axis:(1,)",1,1.9200613258999428,0.2620140929931591,0.75,-0.24606051692945993,2,False,1.3544308033411896
tet_1.20,1.5,q_only,"3-axis:(1, 2, 2)",3,1.27032885427038,0.0074102795515502,0.9583333333333334,-0.02587522384460415,3,True,1.2309405981854105
tet_1.20,1.5,xyz_only,"3-axis:(1, 1, 2)",3,1.9749467106655068,0.2620140929931591,0.8541666666666666,-0.24606051692945993,2,False,1.4427427643635333
tet_1.20,2.0,score_q,"3-axis:(1, 1, 2)",3,1.6208620429025429,0.0082083534510659,1.0,3.231282218629702,1,False,3.9682713280057547
tet_1.20,2.0,score_iso,"3-axis:(1, 1, 1)",3,1.5507831146466085,0.2479469935756567,0.5833333333333334,0.8163249345384154,2,False,1.5745746981855384
tet_1.20,2.0,q_only,"3-axis:(1, 1, 2)",3,1.3849675938760475,0.013308486692985,1.0,3.231282218629702,3,True,3.9398390270717143
tet_1.20,2.0,xyz_only,"3-axis:(1, 1, 2)",3,1.6208620429025429,0.2479469935756567,0.6041666666666666,0.8163249345384154,1,False,1.5493399518289699
tet_1.20,5.0,score_q,"3-axis:(1, 1, 2)",3,0.5754152619006726,0.0527276593955141,0.1875,2.2731375420342115,3,True,2.8182338903353545
tet_1.20,5.0,score_iso,"3-axis:(1, 1, 2)",3,0.4029031669515125,0.1892532658471744,0.2083333333333333,-0.635380890497608,3,True,1.9100261300342298
tet_1.20,5.0,q_only,"3-axis:(1, 1, 2)",3,0.217742062997036,0.0141174097267675,0.8958333333333334,-0.1636243273978191,3,True,1.1254581388628775
tet_1.20,5.0,xyz_only,"3-axis:(1, 1, 2)",3,0.4029031669515125,0.1892532658471744,0.1875,-0.635380890497608,3,True,1.9427672566256269
tet_1.20,10.0,score_q,"3-axis:(1, 1, 2)",3,0.1235409584839692,0.0497628433920855,0.375,-0.5577376614967279,3,True,1.1354581975881541
tet_1.20,10.0,score_iso,"3-axis:(1, 1, 2)",3,0.1235409584839692,0.0512557925179062,0.4375,-0.5577376614967279,3,True,1.0455453019793628
tet_1.20,10.0,q_only,"3-axis:(1, 1, 2)",3,0.1223812371329315,0.0142535432594875,1.0,0.09900375445110486,3,True,1.3426946181277688
tet_1.20,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.1235409584839692,0.0497628433920855,0.375,-0.5577376614967279,3,True,1.1354581975881541
tet_1.35,0.0,score_q,"1-axis:(1,)",1,3.3666665689475384,0.1399097547808792,0.9791666666666666,0.02625443174684652,1,True,1.2055018480230648
tet_1.35,0.0,score_iso,"1-axis:(1,)",1,3.3666665689475384,0.1399097547808792,0.9791666666666666,0.02625443174684652,1,True,1.2055018480230648
tet_1.35,0.0,q_only,"1-axis:(1,)",1,3.3666665689475384,0.1399097547808792,1.0,0.02625443174684652,1,True,1.253405652954116
