case,label,y,I_norm
coherent_baseline,kohärent,-0.24042857142857144,0.12329130460341615
coherent_baseline,kohärent,-0.23964285714285716,0.1273868148248192
coherent_baseline,kohärent,-0.23885714285714288,0.13158176537319546
coherent_baseline,kohärent,-0.2380714285714286,0.1358706325466009
coherent_baseline,kohärent,-0.23728571428571432,0.1402474487293798
coherent_baseline,kohärent,-0.23650000000000004,0.14470580987424467
coherent_baseline,kohärent,-0.23571428571428577,0.14923888453972872
coherent_baseline,kohärent,-0.2349285714285715,0.15383942448362034
coherent_baseline,kohärent,-0.23414285714285715,0.15849977680806485
coherent_baseline,kohärent,-0.23335714285714287,0.1632118976470259
coherent_baseline,kohärent,-0.2325714285714286,0.167967367381773
coherent_baseline,kohärent,-0.23178571428571432,0.1727574073649944
coherent_baseline,kohärent,-0.23100000000000004,0.17757289812906632
coherent_baseline,kohärent,-0.23021428571428576,0.18240439904894054
coherent_baseline,kohärent,-0.22942857142857148,0.18724216942505914
coherent_baseline,kohärent,-0.22864285714285715,0.1920761909466991
coherent_baseline,kohärent,-0.22785714285714287,0.196896191491171
coherent_baseline,kohärent,-0.2270714285714286,0.20169167020942028
coherent_baseline,kohärent,-0.2262857142857143,0.206451923843754
coherent_baseline,kohärent,-0.22550000000000003,0.21116607421870998
coherent_baseline,kohärent,-0.22471428571428576,0.21582309684149287
coherent_baseline,kohärent,-0.22392857142857148,0.22041185054393717
coherent_baseline,kohärent,-0.2231428571428572,0.22492110809363725
coherent_baseline,kohärent,-0.22235714285714286,0.22933958769774224
coherent_baseline,kohärent,-0.22157142857142859,0.2336559853189261
coherent_baseline,kohärent,-0.2207857142857143,0.2378590077192769
coherent_baseline,kohärent,-0.22000000000000003,0.24193740614425263
coherent_baseline,kohärent,-0.21921428571428575,0.24588001055551745
coherent_baseline,kohärent,-0.21842857142857147,0.24967576431833255
coherent_baseline,kohärent,-0.2176428571428572,0.25331375924631094
coherent_baseline,kohärent,-0.21685714285714291,0.2567832709037206
coherent_baseline,kohärent,-0.21607142857142858,0.26007379406317427
coherent_baseline,kohärent,-0.2152857142857143,0.2631750782144725
coherent_baseline,kohärent,-0.21450000000000002,0.26607716301859113
coherent_baseline,kohärent,-0.21371428571428575,0.26877041359931997
coherent_baseline,kohärent,-0.21292857142857147,0.2712455555638864
coherent_baseline,kohärent,-0.2121428571428572,0.2734937096430363
coherent_baseline,kohärent,-0.2113571428571429,0.2755064258405147
coherent_baseline,kohärent,-0.21057142857142858,0.27727571698166287
coherent_baseline,kohärent,-0.2097857142857143,0.27879409155098167
coherent_baseline,kohärent,-0.20900000000000002,0.28005458570895697
